"Raison Sociale";"Type";"Sous-type";"Ligne adresse 1";"Numéro";"Complément numéro";"Type de voie";"Voie";"Ligne adresse 3";"Boite postale";"Code postal";"Ville";"Bureau distributeur";"Indicateur cédex";"Cédex";"Téléphone";"Mail";"Adresse Web";"Longitude";"Latitude";
"Salle d'exposition Manville";"cdt:MuseeEtAssimile";"Musée divers";"Hôtel de Manville";"";"";"";"";"";"";"13520";"Les Baux de Provence";"LES BAUX DE PROVENCE";"non";"";"06 20 53 19 10 04 90 54 34 39";"cyrildumas@hotmail.com";"";"4.817418";"43.723826";
"Musée de la Moto";"cdt:MuseeEtAssimile";"Musée";"";"18";"";"Traverse";"Saint Paul";"";"";"13014";"Marseille";"MARSEILLE";"non";"";"04 91 55 48 43";"fsassu@mairie-marseille.fr";"http://musee-de-la-moto.marseille.fr";"5.403929";"43.328791";
"Musée Baroncelli";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Rue";"Victor Hugo";"";"";"13460";"Saintes Maries de la Mer";"LES SAINTES MARIES DE LA MER";"non";"";"04 90 97 87 60";"info@saintesmaries.com";"http://www.saintesmaries.com";"4.428138";"43.45112";
"Musée Ciotaden";"cdt:MuseeEtAssimile";"Musée";"Amis du Vieux La-Ciotat";"30";"";"Rue";"Adolphe Abeille";"";"";"13600";"La Ciotat";"LA CIOTAT";"non";"";"04 42 71 40 99";"contact@museeciotaden.org";"http://www.museeciotaden.org";"5.608019";"43.174331";
"Musée Martin Duby";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Rue";"Augustine Dupuy";"";"";"13390";"Auriol";"AURIOL";"non";"";"04 42 72 84 29";"museemartinduby@gmail.com";"http://www.mairie-auriol.fr";"5.63251";"43.369833";
"Musée Monticelli";"cdt:MuseeEtAssimile";"Musée";"Fortin de Corbières";"";"";"Route";"Du Rove";"L'Estaque";"";"13016";"Marseille";"MARSEILLE";"non";"";"04 91 03 49 46";"d.stammegna@associationmonticelli.com";"http://www.fondationmonticelli.com http://www.associationmonticelli.com";"5.293515";"43.359711";
"Les Marais du Vigueirat";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"";"";"";"";"";"";"";"13104";"Arles";"MAS THIBERT";"non";"";"04 90 98 70 91";"marais-vigueirat@espaces-naturels.fr";"http://www.marais-vigueirat.reserves-naturelles.org http://www.conservatoire-du-littoral.fr http://www.life-promesse.org";"4.729002";"43.557287";
"Domaine de La Palissade";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"";"";"";"";"";"";"5";"13129";"Arles";"SALIN DE GIRAUD";"non";"";"04 42 86 81 28";"palissade@palissade.fr";"http://www.palissade.fr";"4.6991";"43.39259";
"Tour-musée de Velaux";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Rue";"De la Tour";"";"";"13880";"Velaux";"VELAUX";"non";"";"04 42 87 73 59";"m.calvier@mairie-de-velaux.fr";"http://www.velaux.fr.fm";"5.249279";"43.460427";
"Préau des Accoules - Espace des Enfants";"cdt:MuseeEtAssimile";"Musée divers";"";"29";"";"Montée";"Des Accoules";"";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 91 52 06";"lrossellini@mairie-marseille.fr";"http://preau-des-accoules.marseille.fr";"5.367363";"43.297696";
"Maison natale de Marcel Pagnol";"cdt:MuseeEtAssimile";"Musée";"";"16";"";"Cours";"Barthélemy";"";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 03 39 43";"accueil@tourisme-paysdaubagne.fr";"http://www.tourisme-paysdaubagne.fr";"5.566469";"43.292708";
"Le Petit Monde de Pagnol";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Esplanade";"De Gaulle";"";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 03 49 98";"";"http://www.tourisme-paysdaubagne.fr";"5.565798";"43.294294";
"Ateliers Thérèse Neveu - Espace expositions Art de la Terre";"cdt:MuseeEtAssimile";"Musée";"";"";"";"";"Cour de Clastre";"";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 03 43 10";"atn@agglo-paysdaubagne.fr";"http://www.agglo-paysdaubagne.fr";"5.571006";"43.293026";
"Domaine de la Font de Mai";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"Route d'Eoures";"";"";"Chemin";"De la Font de Mai";"";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 01 66 30";"";"http://www.tourisme-paysdaubagne.fr";"5.546783";"43.312428";
"Maison de la Sainte Victoire";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"";"";"";"";"";"";"";"13100";"Saint Antonin sur Bayon";"SAINT ANTONIN SUR BAYON";"non";"";"04 13 31 94 70";"msv@cg13.fr";"";"5.532196";"43.540352";
"Musée de l'Empéri, de Salon et de la Crau et salle Théodore Jourdan";"cdt:MuseeEtAssimile";"Musée";"Château de l'Emperi";"";"";"Montée";"Du Puech";"";"";"13300";"Salon de Provence";"SALON DE PROVENCE";"non";"";"04 90 44 72 80";"";"";"5.098425";"43.638462";
"Musée archéologique";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Place";"José Coto";"";"";"13800";"Istres";"ISTRES";"non";"";"04 42 11 27 72";"museeistres@ouestprovence.fr";"";"4.9454803";"43.5212157";
"Musée Mélik";"cdt:MuseeEtAssimile";"Musée";"Château de Cabriès";"";"";"";"";"";"";"13480";"Cabriès";"CABRIES";"non";"";"04 42 22 42 81";"musee.melik@yahoo.fr";"http://www.musee-melik.fr";"5.346838";"43.452953";
"Site - Mémorial du camp des Milles";"cdt:MuseeEtAssimile";"Musée";"";"40";"";"Chemin";"De la Badesse";"";"";"13547";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 39 17 11";"jean-pierre.cales@campdesmilles.org";"http://www.campdesmilles.org";"5.383";"43.503289";
"Musée de Région Auguste Chabaud";"cdt:MuseeEtAssimile";"Musée";"";"41";"";"Cours";"National";"";"";"13690";"Graveson";"GRAVESON";"non";"";"04 90 90 53 02";"contact@museechabaud.com";"http://www.museechabaud.com";"4.772264";"43.851514";
"Cabinet de Curiosités de Tartarin de Tarascon";"cdt:MuseeEtAssimile";"Musée";"Cloître des Cordeliers";"";"";"Place";"Frédéric Mistral";"";"";"13150";"Tarascon";"TARASCON";"non";"";"04 90 91 38 71";"";"";"4.6611";"43.807539";
"Souleïado - Musée du Tissu Provençal";"cdt:MuseeEtAssimile";"Musée";"";"39";"";"Rue";"Charles Demery";"";"";"13150";"Tarascon";"TARASCON";"non";"";"04 90 91 08 80";"musee@souleiado.com";"http://www.souleiado.com";"4.659403";"43.804695";
"Musée des Arômes et du Parfum";"cdt:MuseeEtAssimile";"Musée d'entreprise";"Mas de la Chevêche";"";"";"Route";"Du Grès";"";"";"13690";"Graveson";"GRAVESON";"non";"";"04 90 95 81 72";"info@museedesaromes.com";"http://www.museedesaromes.com";"4.781647";"43.838387";
"Atelier de Cézanne";"cdt:MuseeEtAssimile";"Musée";"";"9";"";"Avenue";"Paul Cézanne";"";"";"13090";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 21 06 53";"infos@atelier-cezanne.com";"http://www.atelier-cezanne.com";"5.445825";"43.540918";
"Pavillon de Vendôme";"cdt:MuseeEtAssimile";"Musée";"13, rue de la Molle ou";"32";"";"Rue";"Célony";"";"";"13100";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 91 88 75";"animationpavillon@mairie-aixenprovence.fr";"http://www.mairie-aixenprovence.fr";"5.442915";"43.530084";
"Musée du Terroir Marseillais";"cdt:MuseeEtAssimile";"Musée";"";"5";"";"Place";"Des Héros";"Château-Gombert";"";"13013";"Marseille";"MARSEILLE";"non";"";"04 91 68 14 38";"contact@musee-provencal.fr";"http://musee-provencal.fr";"5.438916";"43.352174";
"Musée municipal d'art et traditions populaires";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Rue";"Xavier d'Authier";"";"";"13260";"Cassis";"CASSIS";"non";"";"04 42 01 88 66";"musee@cassis.fr";"";"5.540358";"43.21439";
"Espace Cinéma Prosper Gnidzaz";"cdt:MuseeEtAssimile";"Musée divers";"";"4";"";"Rue";"Colonel Denfert";"";"";"13500";"Martigues";"MARTIGUES";"non";"";"04 42 10 91 30";"espacinema@gmail.com";"http://espacecinemapg.blogspot.com/";"5.05476";"43.408204";
"Entre mer et collines, Histoire des villages de Carro et La Couronne";"cdt:MuseeEtAssimile";"Musée divers";"Cercle St Pierre des pêcheurs";"15";"";"Place";"Joseph Fasciola";"";"";"13500";"Martigues";"MARTIGUES";"non";"";"06 07 34 76 246 78 89 85 4509 08 17 54 04";"comitefetescarro@gmail.com contact@fetescarro.fr";"";"5.038963";"43.33088";
"Musée Ferroviaire";"cdt:MuseeEtAssimile";"Musée";"RDT 13";"17";"bis";"Avenue";"De Hongrie";"";"";"13200";"Arles";"ARLES";"non";"";"04 90 18 81 31";"letraindesalpilles@rdt13.fr";"http://www.letraindesalpilles.fr";"4.633843";"43.68545";
"Musée Ziem";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Boulevard";"Du 14 juillet";"";"";"13500";"Martigues";"MARTIGUES";"non";"";"04 42 41 39 60";"musee@ville-martigues.fr";"http://www.musees-mediterranee.org";"5.054387";"43.408532";
"Musée de la Camargue";"cdt:MuseeEtAssimile";"Musée";"PNRC";"";"";"";"";"Mas du Pont de Rousty";"";"13200";"Arles";"ARLES";"non";"";"04 90 97 10 82";"musee@parc-camargue.fr";"http://www.parc-camargue.fr";"4.528127";"43.624007";
"Musée d'Art Contemporain (MAC)";"cdt:MuseeEtAssimile";"Musée";"";"69";"";"Avenue";"D'Haïfa";"";"";"13008";"Marseille";"MARSEILLE";"non";"";"04 91 25 01 07";"tollat@mairie-marseille.fr";"http://mac.marseille.fr";"5.391365";"43.252193";
"Fondation Vasarely";"cdt:MuseeEtAssimile";"Musée";"Jas de Bouffan";"1";"";"Avenue";"Marcel Pagnol";"";"";"13090";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 20 01 09";"contact@fondationvasarely.org";"http://www.fondationvasarely.org";"5.424743";"43.521979";
"Muséum d'Histoire Naturelle";"cdt:MuseeEtAssimile";"Musée";"Palais Longchamp";"";"";"Boulevard";"De Montricher";"";"";"13004";"Marseille";"MARSEILLE";"non";"";"04 91 14 59 50";"museum@mairie-marseille.fr";"http://www.museum-marseille.org http://www.marseille.fr/siteculture/les-lieux-culturels-municipaux/musees/le-museum-dhistoire-naturelle";"5.4018087";"43.305868";
"Musée Réattu";"cdt:MuseeEtAssimile";"Musée";"";"10";"";"Rue";"Du Grand Prieuré";"";"";"13200";"Arles";"ARLES";"non";"";"04 90 49 37 58";"musee.reattu@ville-arles.fr";"http://www.museereattu.arles.fr";"4.627937";"43.679141";
"Musée des Beaux Arts (fermé pour travaux)";"cdt:MuseeEtAssimile";"Musée";"Palais Longchamp";"";"";"Boulevard";"De Montricher";"";"";"13004";"Marseille";"MARSEILLE";"non";"";"04 91 14 59 30";"";"http://musee-des-beaux-arts.marseille.fr";"5.3933488";"43.3050942";
"Fondation Regards de Provence";"cdt:MuseeEtAssimile";"Musée divers";"Palais des Arts";"1";"";"Place";"Carli";"";"";"13001";"Marseille";"MARSEILLE";"non";"";"04 91 42 51 50";"";"http://www.museeregardsdeprovence.com/";"5.38343";"43.295762";
"Musée Estrine, Centre Interprétation présence Van Gogh";"cdt:MuseeEtAssimile";"Musée";"";"8";"";"Rue";"Estrine";"";"";"13210";"Saint Rémy de Provence";"SAINT REMY DE PROVENCE";"non";"";"04 90 92 34 72";"musee.estrine@orange.fr";"http://www.musees-mediterranee.org";"4.832172";"43.788876";
"Eden Théâtre";"cdt:MuseeEtAssimile";"Musée divers";"";"25";"";"Boulevard";"Georges Clémenceau";"";"";"13600";"La Ciotat";"LA CIOTAT";"non";"";"04 42 04 72 62";"leslumieresdeleden@free.fr";"http://www.leslumieresdeleden.fr";"5.610952";"43.178565";
"Museon Arlaten";"cdt:MuseeEtAssimile";"Musée";"";"29";"";"Rue";"De la République";"";"";"13200";"Arles";"ARLES";"non";"";"04 13 31 51 99";"museon.arlaten@cg13.fr";"http://www.museonarlaten.fr";"4.625983";"43.676486";
"Musée Cantini (fermé pour travaux)";"cdt:MuseeEtAssimile";"Musée";"";"19";"";"Rue";"Grignan";"";"";"13006";"Marseille";"MARSEILLE";"non";"";"04 91 54 77 75";"";"http://musee-cantini.marseille.fr";"5.378425";"43.292512";
"Musée d'Histoire de Marseille (fermé pour travaux)";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Square";"Belsunce";"Centre Bourse";"";"13001";"Marseille";"MARSEILLE";"non";"";"04 91 90 42 22";"lvedrine@mairie-marseille.fr";"http://musee-histoire-de-marseille.marseille.fr";"5.3772";"43.314249";
"Musée départemental Arles antique";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Avenue";"1e-Division-France-Libre";"Presqu'Ile du Cirque Romain";"";"13200";"Arles";"ARLES";"non";"";"04 13 31 51 03";"info.mdaa@cg13.fr";"http://www.arles-antique.cg13.fr";"4.616425";"43.672466";
"Musée Granet";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Place";"Saint Jean de Malte";"";"";"13100";"Aix en Provence";"AIX EN PROVENCE";"non";"";"04 42 52 88 32";"resagranet@agglo-paysdaix.fr";"http://www.museegranet-aixenprovence.fr";"5.452725";"43.525464";
"Musée Yves Brayer";"cdt:MuseeEtAssimile";"Musée";"Hôtel de Porcelet";"";"";"Place";"François de Hérain";"";"";"13520";"Les Baux de Provence";"LES BAUX DE PROVENCE";"non";"";"04 90 54 36 99";"";"http://www.yvesbrayer.com";"4.794479";"43.743684";
"Fondation Vincent Van Gogh";"cdt:MuseeEtAssimile";"Musée";"Hôtel Léautaud de Donines";"5";"";"Place";"Honoré Clair";"";"";"13200";"Arles";"ARLES";"non";"";"04 90 49 94 04";"fondwga@wanadoo.fr";"http://www.fondation-vincentvangogh-arles.org/";"4.631616";"43.678057";
"Musée des Civilisations d'Europe et Méditerranée MuCEM (fermé pour travaux)";"cdt:MuseeEtAssimile";"Musée";"Fort Saint-Jean";"201";"";"Quai";"Du Port";"";"";"13002";"Marseille";"MARSEILLE";"non";"";"04 91 59 06 87";"";"http://www.mucem.org";"5.369195";"43.296005";
